,id,lang,text,negative,positive,neutral
70,1623283707757961217,EN,RT @netflix: Four photos to remind you that Narcos = 30 episodes of Pedro Pascal https://t.co/MPLyGnw3rd,-1,1,0
74,1623283669216677890,EN,"@hatfinch @SQW103 @allquietmovie @netflix In LA, Studios spend million on print advertisement “For Your Consideration” award season billboards/posters around for the public to see. The public’s doesn’t vote, the public seats.. It’s a good move for Netflix but still, this film feels uninspired",-1,2,1
75,1623283659749969921,EN,"@DrDc989 @Beware_The_Bat @SkiiwalkerTweet @netflix So because there is no profit pool for talent involved, streamers such as Netflix pay the talent higher salaries to make up for that. And paying Zack Snyder, Ben Affleck, Gal Gadot, Henry Cavill, and Jason Momoa will cost a lot of money.",-1,2,1
77,1623283649658626048,EN,"RT @sheesh_eesh3: We are waiting @netflix 
NETFLIX BRING BACK OCS 
#SaveWarriorNun #WarriorNun https://t.co/iCyP5v7uft",-1,2,1
78,1623283594796929031,EN,@intunewithout @pinksasquatch24 @psychopathicgay @netflix Great idea! NETFLIX BRING BACK OCS #SaveWarriorNun #WarriorNun,-1,4,1
81,1623283533765660674,EN,RT @jaytatum0: 👀☘️ #BillRussellLEGEND Out on @Netflix tomorrow https://t.co/0HHLKm4WHe,-1,1,0
83,1623283499905040391,EN,"RT @SnyderQueen_: So if the cameos are cut from the ending. It means they're all out. The only way we will see Henry Cavill Superman, Gal G…",-1,1,0
84,1623283499749847041,EN,"Day 158 of asking @netflix to put @DermotKennedy song 'Power Over Me' in #VirginRiver , specifically a Brie and Brady Scene.",-1,1,0
85,1623283467025891331,EN,RT @jaytatum0: 👀☘️ #BillRussellLEGEND Out on @Netflix tomorrow https://t.co/0HHLKm4WHe,-1,1,0
88,1623283442913021962,EN,RT @netflix: Love is sharing a password.,-1,3,1
90,1623283430808240130,EN,@Vani_Trishian @netflix New concept? This shit.? Why eating food but try something new! Movie full ah abusive pedophile pannitu new concept try pandra mooningala paaru. thu,-4,2,-1
91,1623283424839581699,EN,"RT @TheNuGeekz: It'd be DOPE if they RELEASED THE AYER CUT on @netflix
#SellZSJLtoNetflix 
#SellSnyderVerseToNetflix https://t.co/5NTe7ZqIhs",-2,1,-1
94,1623283394812563457,EN,"RT @netflix: Together we will find everything that we're looking for!

ONE PIECE premieres 2023 https://t.co/GF5T278iTx",-1,2,1
96,1623283361480609792,EN,"RT @rameshlaus: The King is ruling the jungle..

#AK 's #Thunivu is now playing on @netflix https://t.co/ysxNGH2bQi",-1,2,1
97,1623283332501889024,EN,@maxinechunkel @netflix That tells u everything u already need to know,-1,1,0
98,1623283326156161025,EN,"RT @lockwoodandco13: Lockwood &amp; Co. is my family. They are my everything. Netflix @netflix @NetflixUK please renew Lockwood &amp; Co., because…",-1,2,1
99,1623283289548103680,EN,"RT @lavenderghostco: BLESSED 🙏✨

#LockwoodAndCo #renewlockwoodandco @NetflixUK @netflix https://t.co/sBZeDNbO4M",-1,2,1
101,1623283253435039746,EN,RT @Leah_WarriorNun: Yo @netflix / #TedSarandos you guys really did yourselves dirty in that article!! Did you somehow think it would help…,-3,1,-1
102,1623283209004892162,EN,@DrDc989 @Beware_The_Bat @SkiiwalkerTweet @netflix So you have already demonstrated that you don't understand how Netflix productions work. Salaries are more expensive in Netflix movies because there are no residuals and profits to be shared. There is no box office and often no home video for these movies to make.,-2,2,-1
103,1623283203850264577,EN,"RT @rameshlaus: The King is ruling the jungle..

#AK 's #Thunivu is now playing on @netflix https://t.co/ysxNGH2bQi",-1,2,1
104,1623283177262559233,EN,"RT @psychopathicgay: C'mon @netflix what are you waiting for??! 

NETFLIX BRING BACK OCS
#SaveWarriorNun #WarriorNun https://t.co/tmglj9Bflz",-1,2,1
105,1623283159172370435,EN,RT @netflix: Get ready to feel old as the cast of That '90s Show takes a quiz about the 1990s https://t.co/fMZ3eNbfzS,-1,1,0
106,1623283157784035328,EN,"BLESSED 🙏✨

#LockwoodAndCo #renewlockwoodandco @NetflixUK @netflix https://t.co/sBZeDNbO4M",-1,2,1
107,1623283124649050112,EN,@netflix Like u know they can’t include everything that was in the anime. The anime had whole ass 10-15 episode backstrirys if mfs after u meet theNn no way Netflix going as in depth as the anime,-1,2,1
108,1623283095402336264,EN,"RT @netflix: Eight months later and this reveal in The Sea Beast still sends a chill up my spine, @JustChris https://t.co/E9MaFWcWeQ",-1,1,0
110,1623283088297000963,EN,RT @Juel73: I don't care if you @wbd loose so much money that you will have to stop making DC movies at the end. That all on you. Your deci…,-1,1,0
111,1623283083524079616,EN,"RT @dolcegabbana: Christian Bale and Sibi Bale wore total #DolceGabbana looks to the @netflix Premiere of ""The Pale Blue Eye"". https://t.co…",-1,1,0
112,1623283076305506306,EN,RT @MichyKat: This! @netflix this is why WARRIOR NUN deserves to be saved. The show has a HUGE fan base. If y'all had promoted it would hav…,-1,2,1
115,1623283022215929856,EN,"RT @ManuNikhil2: #Thunivu now streaming in @netflix 🔥 

#Ajithkumar https://t.co/MbktjqKUgo",-1,1,0
116,1623283019049050113,EN,RT @lavenderghostco: Don’t forget to keep streaming /rewatching #lockwoodandco!!! Week 3 is important in deciding the renewal status so kee…,-1,2,1
117,1623282983938715648,EN,RT @netflix: Love is sharing a password.,-1,3,1
119,1623282951038570496,EN,"RT @netflix: If it's been a minute since you last watched Emma Stone and Ryan Gosling dazzle in La La Land, the magical movie musical is no…",-1,1,0
120,1623282924035444736,EN,"IM SO PROUD 😭💖

#LockwoodAndCo #renewlockwoodandco @NetflixUK @netflix https://t.co/eLR8N3v7wG",-1,2,1
121,1623282912324976641,EN,"RT @Wattsitsname: @netflix Four photos to remind you that Netflix cancelled Warrior Nun for no good reason.
NETFLIX BRING BACK OCS
#SaveWar…",-3,2,-1
122,1623282841323798528,EN,RT @Leah_WarriorNun: Hey @netflix remember this show you decided to prematurely cancel? Cause it has a “small audience” &amp; a “big budget”! Y…,-2,2,-1
123,1623282811968061440,EN,"RT @ChaEunwooINTL: Further to #TrueBeauty drama launched on @Netflix (select countries) ranking #8 GLOBALLY, #CHAEUNWOO's #Instagram follow…",-1,1,0
124,1623282789834530819,EN,"RT @Wattsitsname: @netflix Four photos to remind you that Netflix cancelled Warrior Nun for no good reason.
NETFLIX BRING BACK OCS
#SaveWar…",-3,2,-1
125,1623282782511288322,EN,@netflix This finna b garbage like every anime adaption they have,-3,2,-1
127,1623282706351067136,EN,RT @sapphicboghag: To snub a series that could handily win an Emmy for cinematography makes absolutely no sense to me. Each scene of every…,-1,1,0
128,1623282697094197249,EN,"RT @queernerdy: @netflix Yeah but here four photos to remind you that you canceled a successful show when cancelling Warrior Nun

NETFLIX B…",-2,3,1
129,1623282675300864000,EN,"RT @rameshlaus: The King is ruling the jungle..

#AK 's #Thunivu is now playing on @netflix https://t.co/ysxNGH2bQi",-1,2,1
