,id,lang,text,negative,positive,neutral
1568,1623253353282277376,EN,"@netflix Sell the rights of Warrior Nun Netflix. #SaveWarriorNun #WarriorNun 

NETFLIX BRING BACK OCS https://t.co/XdGzhtuzm4",-1,2,1
1569,1623253347448004614,EN,"RT @rameshlaus: The King is ruling the jungle..

#AK 's #Thunivu is now playing on @netflix https://t.co/ysxNGH2bQi",-1,2,1
1570,1623253324979113984,EN,RT @netflix: Love is sharing a password.,-1,3,1
1571,1623253313599987712,EN,RT @AshokSuryaOff03: Let’s enjoy #Thunivu on @netflix 🤝🙂 and let’s anticipate #Ak62 announcement. #LetsRace,-1,3,1
1572,1623253296608858112,EN,@netflix You had the most talented cast on 1899! #Save1899 #1899Netflix https://t.co/3Z0zFckwTG,-1,3,1
1573,1623253295430262784,EN,"RT @netflix: If it's been a minute since you last watched Emma Stone and Ryan Gosling dazzle in La La Land, the magical movie musical is no…",-1,1,0
1576,1623253249418567680,EN,@netflix I doubt if Netflix will actually finish it. Boy! They've chosen to direct such a long book series. They're eventually going to make it lose the hype. But anyways the series was great there are some plots where you actually feel the chills.,-2,3,1
1577,1623253238446460929,EN,"RT @tn_ajith: Tomo going to be biggest celebration day for all #Ajithkumar sir fans &amp; #Thunivu movie lovers 🥰😎

12am - Online streaming in…",-1,4,1
1578,1623253236055695371,EN,RT @icameisawiTV: Hello @netflix still ignoring the fact that #WarriorNun is 1 of 2 originals that actually went up in postive reviews seas…,-1,1,0
1579,1623253222680068097,EN,"RT @tn_ajith: Tomo going to be biggest celebration day for all #Ajithkumar sir fans &amp; #Thunivu movie lovers 🥰😎

12am - Online streaming in…",-1,4,1
1580,1623253216338268160,EN,OHHH YEAAA #SACREDDIVORCE FINALLY CONFIRMED ON @NETFLIX!!!! https://t.co/Ji9JyMlOV4,-1,3,1
1581,1623253199766556673,EN,"RT @Nelson_Ji: Tomorrow going to be biggest celebration day for all #Ajithkumar sir fans &amp; #Thunivu movie lovers 🥳🔥

12am - Online streamin…",-1,4,1
1582,1623253192199774208,EN,"I Just Entered to Win a @Roku, @Hulu gift card, @Netflix Gift Card, &amp; @Antennasdirect.
@CordCuttersNews Enter Here: https://t.co/M9poNVYeh6",-1,1,0
1584,1623253152127668226,EN,RT @netflix: Talent clearly runs in the Holland family https://t.co/fXWWyU8Vlf,-1,2,1
1585,1623253136273031168,EN,"RT @rameshlaus: The King is ruling the jungle..

#AK 's #Thunivu is now playing on @netflix https://t.co/ysxNGH2bQi",-1,2,1
1587,1623253094720229376,EN,"RT @SamratAjithFC: Watch and Enjoy Now 🎦 Only On @netflix ..💥😎

#AjithKumar #Thunivu #Tegimpu 
#AK62 https://t.co/b6tUUYX1AM",-1,1,0
1588,1623253076118319104,EN,RT @MichyKat: Let's get it!!! @netflix NETFLIX BRING BACK OCS #SaveWarriorNun #WarriorNun,-1,2,1
1590,1623253052399517697,EN,RT @Leah_WarriorNun: Hey @netflix remember this show you decided to prematurely cancel? Cause it has a “small audience” &amp; a “big budget”! Y…,-2,2,-1
1591,1623252990349185025,EN,RT @AshokSuryaOff03: Let’s enjoy #Thunivu on @netflix 🤝🙂 and let’s anticipate #Ak62 announcement. #LetsRace,-1,3,1
1592,1623252958854148097,EN,RT @AshokSuryaOff03: Let’s enjoy #Thunivu on @netflix 🤝🙂 and let’s anticipate #Ak62 announcement. #LetsRace,-1,3,1
1593,1623252899462778883,EN,"@birbxbirb @netflix 🤣🤣🤣

NETFLIX BRING BACK OCS
#SaveWarriorNun #WarriorNun",-1,2,1
1594,1623252834073595904,EN,@DAEMONIITE @orihime @netflix If you have time.. Look into the one piece YouTube community. Most of us have remained pessimistic for a long time given Netflix's record ..search Reverie 8 in YouTube if you have time for more info on this matter.. It will give you some optimism,-3,1,-1
1596,1623252825621909504,EN,"Day 566/365 (or till @netflix replies me &amp; give me a chance to be in one of their movie/tv series).
How are you today?
#haveaniceday @NetflixIT",-1,2,1
1597,1623252824716083201,EN,"RT @ChaEunwooINTL: After #TrueBeauty, #ChaEunwoo's movie #DECIBEL is coming soon on #Netflix

Stay tuned to watch the heart-wrenching story…",-1,1,0
1598,1623252779207905280,EN,"RT @ChaEunwooINTL: After #TrueBeauty, #ChaEunwoo's movie #DECIBEL is coming soon on #Netflix

Stay tuned to watch the heart-wrenching story…",-1,1,0
1601,1623252749814235136,EN,"RT @Nelson_Ji: Tomorrow going to be biggest celebration day for all #Ajithkumar sir fans &amp; #Thunivu movie lovers 🥳🔥

12am - Online streamin…",-1,4,1
1604,1623252661838528512,EN,"RT @Darshan14227345: Henry Cavill Superman was always Under controversies like Superman 
@netflix 
#SellSnyderVerseToNetflix 
#SellZSJLtoNe…",-2,2,-1
1605,1623252659213078528,EN,RT @AshokSuryaOff03: Let’s enjoy #Thunivu on @netflix 🤝🙂 and let’s anticipate #Ak62 announcement. #LetsRace,-1,3,1
1606,1623252654544793602,EN,"RT @Nelson_Ji: #Thunivu now streaming in @netflix 🔥 

#Ajithkumar https://t.co/BLYf42mSbD",-1,1,0
1607,1623252650912538626,EN,"RT @forever_cew: studiodragon.official Instagram Update 

🔗 https://t.co/yQJqKtyQlf

Cha Eunwoo and Moon Gayoung's romantic comedy drama, T…",-1,4,1
1608,1623252641144012800,EN,"RT @netflix: Together we will find everything that we're looking for!

ONE PIECE premieres 2023 https://t.co/GF5T278iTx",-1,2,1
1609,1623252624928645122,EN,"RT @SnyderQueen_: Bring back Henry Cavill. 
Make Man of Tomorrow on @Netflix. #SellZSJLtoNetflix #SellSnyderVerseToNetflix https://t.co/mnZ…",-1,1,0
1610,1623252603592384513,EN,RT @AshokSuryaOff03: Let’s enjoy #Thunivu on @netflix 🤝🙂 and let’s anticipate #Ak62 announcement. #LetsRace,-1,3,1
1611,1623252603193683969,EN,@netflix @GM Why don't you give Warrior Nun the stage it deserves #SaveWarriorNun #WarriorNun #HaloBearers NETFLIX BRING BACK OCS https://t.co/t8GyLqjvAM,-1,2,1
1612,1623252602896142339,EN,"RT @netflix: Together we will find everything that we're looking for!

ONE PIECE premieres 2023 https://t.co/GF5T278iTx",-1,2,1
1613,1623252584545886208,EN,"RT @prakashpins: #AjithKumar #Thunivu started streaming in @netflix 
Watch Now!!

#ThunivuOnNetflix #HVinoth #Netflix #Tamilmovie #Heist ht…",-1,2,1
1615,1623252520071213056,EN,"RT @netflix: Together we will find everything that we're looking for!

ONE PIECE premieres 2023 https://t.co/GF5T278iTx",-1,2,1
1617,1623252466472026114,EN,"RT @delaneygabs: Hey @netflix we still here 
NETFLIX BRING BACK OCS 
#SaveWarriorNun #WarriorNun https://t.co/2oZvNe82GW",-1,2,1
1618,1623252449594310656,EN,"RT @rameshlaus: The King is ruling the jungle..

#AK 's #Thunivu is now playing on @netflix https://t.co/ysxNGH2bQi",-1,2,1
1620,1623252409953710080,EN,"RT @SnyderQueen_: Bring back Henry Cavill. 
Make Man of Tomorrow on @Netflix. #SellZSJLtoNetflix #SellSnyderVerseToNetflix https://t.co/mnZ…",-1,1,0
1621,1623252407860994048,EN,RT @TimePassMaams: @rameshlaus @netflix Once a king always a king https://t.co/01EfzY7Ko5,-1,1,0
1622,1623252400495804418,EN,RT @netflix: The final season of The Umbrella Academy is now in production! https://t.co/3Kik32ka3J,-1,2,1
1623,1623252385484230656,EN,Any one to rate #LockwoodandCo from @netflix i wanna watch the series🥹🥹,-1,1,0
1624,1623252372368818176,EN,"RT @thatdcuniverse: He can't be replaced..
@wbpictures @netflix @DCComics #dc #dceu #dccomics #hbomax #snyderverse #elseworlds #HenryCavill…",-1,1,0
1626,1623252363363627014,EN,RT @AshokSuryaOff03: Let’s enjoy #Thunivu on @netflix 🤝🙂 and let’s anticipate #Ak62 announcement. #LetsRace,-1,3,1
1628,1623252303519293442,EN,RT @Lovingloverblue: Okay @Netflix stop being such a meany and either uncancel #warriornun or sell it jfc. We're not going anywhere and we'…,-1,1,0
1630,1623252266932375552,EN,"RT @psychopathicgay: C'mon @netflix what are you waiting for??! 

NETFLIX BRING BACK OCS
#SaveWarriorNun #WarriorNun https://t.co/tmglj9Bflz",-1,2,1
1631,1623252262901489670,EN,"RT @rapidodraws: The start                         The finish

#glassonionaknivesoutmystery @KnivesOut @netflix @JanelleMonae https://t.co/…",-1,1,0
1632,1623252229506404353,EN,RT @OwaisKh17489014: #SellSnyderVerseToNetflix #SellZSJLtoNetflix #RestoreTheSnyderVerse #FireJamesGunnAndPeterSafran #Constantine2 #HenryC…,-1,1,0
1633,1623252225907912704,EN,RT @AshokSuryaOff03: Let’s enjoy #Thunivu on @netflix 🤝🙂 and let’s anticipate #Ak62 announcement. #LetsRace,-1,3,1
1634,1623252213345681409,EN,RT @SimonDavisBarry: I’ve just found out that @netflix will not be renewing #WarriorNun - my sincere appreciation to all the fans who worke…,-1,2,1
1636,1623252178092834816,EN,"RT @forever_cew: studiodragon.official Instagram Update 

🔗 https://t.co/yQJqKtyQlf

Cha Eunwoo and Moon Gayoung's romantic comedy drama, T…",-1,4,1
1637,1623252151870029831,EN,RT @Rsofficial18: Completed to watch #Thunivu on @netflix ... @GhibranOfficial yepodhan OST release Panna poring..,-1,1,0
1638,1623252148606607363,EN,"@netflix You’re right. Together we will find that! Meaning, we’re getting #WarriorNun back for a new season!
Bring our Nuns back!
#SaveWarriorNun https://t.co/EGFadi2TdJ",-1,2,1
1639,1623252137361776640,EN,"RT @blasphemusdeus: okay, my patience is wearing thin, @netflix. either bring back #WarriorNun or give it to someone who can continue the s…",-1,1,0
1640,1623252127220105218,EN,"Jack's episode are so good he should sign a deal with @netflix (or not, if you hate netflix) to turn these into a TV series. https://t.co/E4y2tWzAUm",-4,2,-1
1641,1623252095326461954,EN,"RT @sheesh_eesh3: We are waiting @netflix 
NETFLIX BRING BACK OCS 
#SaveWarriorNun #WarriorNun https://t.co/iCyP5v7uft",-1,2,1
1642,1623252093330153472,EN,"RT @rameshlaus: The King is ruling the jungle..

#AK 's #Thunivu is now playing on @netflix https://t.co/ysxNGH2bQi",-1,2,1
1643,1623252041844883456,EN,RT @WarriorGranny01: does @netflix even realize that the longer they postpone reviving #WarriorNun the worse the media coverage for our eff…,-3,1,-1
1644,1623252024446922755,EN,RT @OwaisKh17489014: #SellSnyderVerseToNetflix #SellZSJLtoNetflix #RestoreTheSnyderVerse #FireJamesGunnAndPeterSafran #Constantine2 #HenryC…,-1,1,0
1645,1623252000640229377,EN,RT @iamrahman_offl: 2023 First Blockbuster #Thunivu Gets Screening from Tonight 12:00 onwards from Silver screens to your Home TV Screens..…,-1,1,0
1646,1623251958223228929,EN,@celinedion I told you @elonmusk #danielporter #danielbiggar #danielportman I’m a clairvoyant! A seer! I’m 11 @Stranger_Things FACTS 😎 @DavidKHarbour ASK @netflix THEY WILL TELL YOU THEY MY NEIGHBORS! I live next door 2them! 5min drive! Literally the HQ in Los Gatos/Campbell @NaomiCampbell,-1,2,1
1647,1623251952015663104,EN,"RT @rameshlaus: The King is ruling the jungle..

#AK 's #Thunivu is now playing on @netflix https://t.co/ysxNGH2bQi",-1,2,1
1648,1623251940657479680,EN,"@moseskoul @Iamkavitak @netflix @NetflixIndia @mautik @N1har1kaS1ngh @GulDharmani @RachchhChintan Moses you are impeccable with your delivery, learnt so much at the worship and after watching you on screen. The honour is all mine",-1,2,1
1649,1623251918452625408,EN,RT @ChaEunwooINTL: 🔥#CHAEUNWOO's hit drama True Beauty success saga continues -  Launched on Netflix 2 years after release in select countr…,-2,3,1
1650,1623251914690555905,EN,RT @AshokSuryaOff03: Let’s enjoy #Thunivu on @netflix 🤝🙂 and let’s anticipate #Ak62 announcement. #LetsRace,-1,3,1
1651,1623251845178163200,EN,@biukiee @netflix No wonder why you are going out of business...,-1,1,0
1652,1623251818645159936,EN,RT @netflix: Love is sharing a password.,-1,3,1
1653,1623251810952818691,EN,"RT @JamesThompsonKS: #SaveWarriorNun in a nutshell!
Piss or get off the pot @netflix Renew or release #WarriorNun 

NETFLIX BRING BACK OCS…",-3,3,-1
1654,1623251802052505601,EN,"RT @rameshlaus: The King is ruling the jungle..

#AK 's #Thunivu is now playing on @netflix https://t.co/ysxNGH2bQi",-1,2,1
1655,1623251789188399105,EN,RT @kraizer81: Bring him back! @netflix #SellZSJLtoNetflix https://t.co/kEueCEzw1T,-1,2,1
1656,1623251783169593347,EN,RT @netflix: Netflix and @GM give EVs the stage the deserve this Sunday! #EverybodyIn #EVsOnScreen https://t.co/wY3JENJnqD https://t.co/TvF…,-1,2,1
1657,1623251778044309506,EN,"RT @SnyderQueen_: 7 days to go... Are you in?
#SellZSJLtoNetflix @Netflix 
#SellSnyderVerseToNetflix https://t.co/OagLPicBA3",-1,1,0
1658,1623251745995358213,EN,"RT @netflix: If it's been a minute since you last watched Emma Stone and Ryan Gosling dazzle in La La Land, the magical movie musical is no…",-1,1,0
1660,1623251737778995200,EN,RT @j_surviva: #Thunivu released in @netflix @Netflix_INSouth today 😎 But still good booking in Multiplex theaters today for matinee and ev…,-1,2,1
1661,1623251712743182336,EN,RT @iamrahman_offl: 2023 First Blockbuster #Thunivu Gets Screening from Tonight 12:00 onwards from Silver screens to your Home TV Screens..…,-1,1,0
1662,1623251709865742337,EN,"RT @Kara_Di: Hey @netflix look, #SaveWarriorNun has 9,000,000 tweets, how about bringing our show back? 

NETFLIX BRING BACK OCS
#SaveWarri…",-1,2,1
1663,1623251699073966081,EN,"RT @Kara_Di: Hey, @Netflix remember what it was like to care about your shows? 

NETFLIX BRING BACK OCS  #SaveWarriorNun #WarriorNun  #Repr…",-1,2,1
1665,1623251662105370624,EN,"RT @JamesThompsonKS: #SaveWarriorNun in a nutshell!
Piss or get off the pot @netflix Renew or release #WarriorNun 

NETFLIX BRING BACK OCS…",-3,3,-1
1666,1623251653809033216,EN,"He can't be replaced..
@wbpictures @netflix @DCComics #dc #dceu #dccomics #hbomax #snyderverse #elseworlds #HenryCavillSuperman #licensesnyderversetonetflix #SellSnyderVerseToNetflix @ZackSnyder #SellZSJLtoNetflix #snyderverseonnetflix

Video Credits - GOATZWRLDD ( YOUTUBE) https://t.co/AUUPM6JwAp",-1,1,0
1668,1623251630656471040,EN,"RT @rameshlaus: The King is ruling the jungle..

#AK 's #Thunivu is now playing on @netflix https://t.co/ysxNGH2bQi",-1,2,1
1669,1623251623098163200,EN,"@TheScottAdkins @netflix 
Please, a spin-off 'Day Shift' film featuring these two absolute champions. Gold!
Thank you.
#DayShift #ScottAdkins #Netflix https://t.co/ADuRu1bC9P",-1,2,1
1670,1623251610121179137,EN,@SkiiwalkerTweet @netflix Someone come get their kid.,-1,1,0
1672,1623251591028670469,EN,RT @netflix: Four photos to remind you that Narcos = 30 episodes of Pedro Pascal https://t.co/MPLyGnw3rd,-1,1,0
1673,1623251584820838400,EN,RT @TheNuGeekz: I highly encourage everyone who's interested in the new #SellZSJLtoNetflix movement to click @sylabdul's link below about w…,-1,2,1
1675,1623251546090741761,EN,@Most @netflix Gays again?,-1,1,0
1676,1623251535861006336,EN,"RT @UrsWorldCinema: #Thunivu is now streaming in #Tamil, #Telugu, #Malayalam, #Kannada and #Hindi on @Netflix 💥

Don't miss... #AjithKumar…",-1,2,1
1677,1623251479330168833,EN,RT @ChaEunwooINTL: 🔥#CHAEUNWOO's hit drama True Beauty success saga continues -  Launched on Netflix 2 years after release in select countr…,-2,3,1
1679,1623251461328052226,EN,"RT @JamesThompsonKS: #SaveWarriorNun in a nutshell!
Piss or get off the pot @netflix Renew or release #WarriorNun 

NETFLIX BRING BACK OCS…",-3,3,-1
1681,1623251437714276353,EN,"RT @rameshlaus: The King is ruling the jungle..

#AK 's #Thunivu is now playing on @netflix https://t.co/ysxNGH2bQi",-1,2,1
1682,1623251428478447616,EN,"RT @ChaEunwooINTL: Further to #TrueBeauty drama launched on @Netflix (select countries) ranking #8 GLOBALLY, #CHAEUNWOO's #Instagram follow…",-1,1,0
1684,1623251343002443777,EN,RT @AshokSuryaOff03: Let’s enjoy #Thunivu on @netflix 🤝🙂 and let’s anticipate #Ak62 announcement. #LetsRace,-1,3,1
1686,1623251318273101825,EN,RT @netflix: Talent clearly runs in the Holland family https://t.co/fXWWyU8Vlf,-1,2,1
1687,1623251282898354177,EN,"RT @netflix: Together we will find everything that we're looking for!

ONE PIECE premieres 2023 https://t.co/GF5T278iTx",-1,2,1
1688,1623251276191367169,EN,RT @Ellsisbored: @JamesThompsonKS @netflix Exactly James! How many shows with a so called ‘small audience’ can pull off most popular show o…,-1,2,1
1689,1623251237172023296,EN,"RT @ChaEunwooINTL: Further to #TrueBeauty drama launched on @Netflix (select countries) ranking #8 GLOBALLY, #CHAEUNWOO's #Instagram follow…",-1,1,0
1690,1623251219744710658,EN,"RT @ChaEunwooINTL: True Beauty continues to be insanely popular ranking Global Top8 on @netflix

@NetflixKR IG post on #TrueBeauty with #Ch…",-1,2,1
1691,1623251183623368706,EN,"RT @rameshlaus: The King is ruling the jungle..

#AK 's #Thunivu is now playing on @netflix https://t.co/ysxNGH2bQi",-1,2,1
1692,1623251180569653248,EN,"RT @AgnesSzalkowska: Yo @netflix . With love from your small audience. 

NETFLIX BRING BACK OCS
#SaveWarriorNun #WarriorNun https://t.co/SY…",-1,3,1
1695,1623251149620133892,EN,"RT @ChaEunwooINTL: True Beauty continues to be insanely popular ranking Global Top8 on @netflix

@NetflixKR IG post on #TrueBeauty with #Ch…",-1,2,1
1696,1623251147627827200,EN,RT @Leah_WarriorNun: Hey @netflix remember this show you decided to prematurely cancel? Cause it has a “small audience” &amp; a “big budget”! Y…,-2,2,-1
1697,1623251108142653442,EN,RT @AshokSuryaOff03: Let’s enjoy #Thunivu on @netflix 🤝🙂 and let’s anticipate #Ak62 announcement. #LetsRace,-1,3,1
1698,1623251062366027776,EN,RT @netflix: The Glory Part 2 premieres March 10 — FIRST LOOK: https://t.co/u1g5bJ0Ntw,-1,1,0
1701,1623251023052808192,EN,"#Thunivu is now streaming in #Tamil, #Telugu, #Malayalam, #Kannada and #Hindi on @Netflix 💥

Don't miss... #AjithKumar has a killer swag in it🔥🔥🔥

#Ajith #AK #Thala #ThalaAjith #Thegimpu #BlockbusterThunivu
#ThunivuOnNetflix @NetflixIndia https://t.co/PdbVSDq4nI",-2,2,-1
1702,1623250970451771392,EN,RT @Hennyo15: @iancleere @netflix If #RestoreTheSnyderVerse is The One Piece then it's going to happen in 2150 when Luffy finds it lol,-1,2,1
1703,1623250940278226945,EN,"RT @rameshlaus: The King is ruling the jungle..

#AK 's #Thunivu is now playing on @netflix https://t.co/ysxNGH2bQi",-1,2,1
1704,1623250925937741824,EN,"RT @rapidodraws: The start                         The finish

#glassonionaknivesoutmystery @KnivesOut @netflix @JanelleMonae https://t.co/…",-1,1,0
1705,1623250863367270400,EN,"Watching Stranger Things 2Night
@netflix @strangerthigntv 
#StrangerThingsfans https://t.co/E6VAMpIE0J",-1,1,0
1707,1623250820589387778,EN,"@Netflix_INSouth Why it's not showing in UAE? 😔
@NetflixIndia @netflix",-1,1,0
1708,1623250801606139904,EN,"RT @rameshlaus: The King is ruling the jungle..

#AK 's #Thunivu is now playing on @netflix https://t.co/ysxNGH2bQi",-1,2,1
1709,1623250789203419138,EN,"RT @AgnesSzalkowska: Yo @netflix . With love from your small audience. 

NETFLIX BRING BACK OCS
#SaveWarriorNun #WarriorNun https://t.co/SY…",-1,3,1
1710,1623250745272455168,EN,"RT @rameshlaus: The King is ruling the jungle..

#AK 's #Thunivu is now playing on @netflix https://t.co/ysxNGH2bQi",-1,2,1
1711,1623250690364821506,EN,you know what u can do? pick up eyewitness @heretv @HereMediaInc @AmazonVideo @netflix @hulu @Showtime @showcasedotca,-1,1,0
1712,1623250656160272386,EN,RT @netflix: Love is sharing a password.,-1,3,1
1713,1623250637566754823,EN,"I Just Entered to Win a @Roku, @Hulu gift card, @Netflix Gift Card, &amp; @Antennasdirect.
@CordCuttersNews Enter Here: https://t.co/dQjlf1dSPA",-1,1,0
1714,1623250625591971843,EN,"RT @SnyderQueen_: 7 days to go... Are you in?
#SellZSJLtoNetflix @Netflix 
#SellSnyderVerseToNetflix https://t.co/OagLPicBA3",-1,1,0
1715,1623250622916046849,EN,RT @netflix: Four photos to remind you that Narcos = 30 episodes of Pedro Pascal https://t.co/MPLyGnw3rd,-1,1,0
1716,1623250585121062915,EN,@1MOMSquad @CBSBigBrother @netflix @paramountplus @agrodner22 @flyonthewallent @KeeshaSmith0801 @RennyMartyn @michellebb10 @librathompson @MrPEC_Tacular @DanGheesling 💥BooM💥,-1,1,0
1717,1623250548798660609,EN,"RT @MrVikneswaran: First #Thala #AjithKumar movie on @netflix 🔥🔥🔥. #AK #Thunivu #NoGutsNoGlory.😎

#ThunivuOnNetflix #ThunivuPongalWinner @N…",-1,1,0
1718,1623250548400001025,EN,"RT @BatfleckMovie: We all know Ben Afflecks Batman film had @JoeManganiello as Deathstroke, but what other villains would you like to see m…",-3,1,-1
1719,1623250532755464192,EN,"RT @ChaEunwooINTL: After #TrueBeauty, #ChaEunwoo's movie #DECIBEL is coming soon on #Netflix

Stay tuned to watch the heart-wrenching story…",-1,1,0
1720,1623250515453743105,EN,RT @netflix: Four photos to remind you that Narcos = 30 episodes of Pedro Pascal https://t.co/MPLyGnw3rd,-1,1,0
1721,1623250514388348928,EN,@SQW103 @allquietmovie @netflix it's worth watching,-1,1,0
1722,1623250459686494218,EN,RT @AshokSuryaOff03: Let’s enjoy #Thunivu on @netflix 🤝🙂 and let’s anticipate #Ak62 announcement. #LetsRace,-1,3,1
1723,1623250451557752833,EN,@batsiraifreddy @netflix The best!!!,-1,3,1
1724,1623250449188130817,EN,RT @AshokSuryaOff03: Let’s enjoy #Thunivu on @netflix 🤝🙂 and let’s anticipate #Ak62 announcement. #LetsRace,-1,3,1
1725,1623250444758790145,EN,RT @Rachelwolf00: Watching Return to Space on @netflix my mind is 🤯so fascinating!,-1,2,1
1726,1623250429990809602,EN,RT @AshokSuryaOff03: Let’s enjoy #Thunivu on @netflix 🤝🙂 and let’s anticipate #Ak62 announcement. #LetsRace,-1,3,1
1727,1623250427079757826,EN,RT @kraizer81: Bring him back! @netflix #SellZSJLtoNetflix https://t.co/kEueCEzw1T,-1,2,1
1728,1623250408603897856,EN,"RT @ResSnyderVerse: Would you be interested in Constantine 2 @netflix?

#NetflixElseworlds 
#SellZSJLtoNetflix 
#SellSnyderVerseToNetflix",-1,2,1
1729,1623250388647542785,EN,"RT @ChaEunwooINTL: Further to #TrueBeauty drama launched on @Netflix (select countries) ranking #8 GLOBALLY, #CHAEUNWOO's #Instagram follow…",-1,1,0
1730,1623250329931509760,EN,"@netflix Maybe try finding your heart first.. then correct your mistakes and do better. 

#SaveWarriorNun #WarriorNun #netflixdobetter https://t.co/HGHReu9u1j",-2,2,-1
1731,1623250329444974592,EN,"RT @rameshlaus: The King is ruling the jungle..

#AK 's #Thunivu is now playing on @netflix https://t.co/ysxNGH2bQi",-1,2,1
1732,1623250320691167232,EN,@BontonexInc @netflix I believe episodes 7 and 8 are Arlong based of the episode names.,-1,1,0
1734,1623250273224503297,EN,RT @netflix: Love is sharing a password.,-1,3,1
1735,1623250267931136001,EN,@rufusjones1 @YoussefKerkour @OakleeP @_AaronNeil #BringBackHome #JusticeforSami @Channel4 and if they won’t then @netflix @Apple @PrimeVideo @BBCNews  x,-1,2,1
1736,1623250243788869632,EN,RT @AshokSuryaOff03: Let’s enjoy #Thunivu on @netflix 🤝🙂 and let’s anticipate #Ak62 announcement. #LetsRace,-1,3,1
1737,1623250175132160000,EN,@iancleere @netflix If #RestoreTheSnyderVerse is The One Piece then it's going to happen in 2150 when Luffy finds it lol,-1,2,1
1738,1623250149635153920,EN,"RT @netflix: Together we will find everything that we're looking for!

ONE PIECE premieres 2023 https://t.co/GF5T278iTx",-1,2,1
1740,1623250111752200192,EN,RT @netflix: Four photos to remind you that Narcos = 30 episodes of Pedro Pascal https://t.co/MPLyGnw3rd,-1,1,0
1741,1623250064196993027,EN,"Yeah, the ""unsuccessful show"" argument holds about as much water as a net, so c'mon @netflix, renew or release.
#SaveWarriorNun #WarriorNun 
NETFLIX BRING BACK OCS https://t.co/7Heb08SNKS",-3,2,-1
1742,1623250014800863232,EN,"RT @netflix: Together we will find everything that we're looking for!

ONE PIECE premieres 2023 https://t.co/GF5T278iTx",-1,2,1
1744,1623249953857368069,EN,RT @netflix: Talent clearly runs in the Holland family https://t.co/fXWWyU8Vlf,-1,2,1
1745,1623249948664860673,EN,RT @netflix: Four photos to remind you that Narcos = 30 episodes of Pedro Pascal https://t.co/MPLyGnw3rd,-1,1,0
1746,1623249912971362304,EN,"RT @blasphemusdeus: okay, my patience is wearing thin, @netflix. either bring back #WarriorNun or give it to someone who can continue the s…",-1,1,0
1747,1623249910429786112,EN,RT @netflix: Get ready to feel old as the cast of That '90s Show takes a quiz about the 1990s https://t.co/fMZ3eNbfzS,-1,1,0
1748,1623249906831085568,EN,@Iamkavitak @netflix @kabirsadanand He’s my buddy too! @kabirsadanand look forward to watching it!,-1,2,1
1749,1623249906319106050,EN,"@MankathaVinayek @zeestudiossouth @Netflix_INSouth I'm also in UAE I have the same problem.😮‍💨😔
@NetflixIndia @netflix @Netflix_INSouth",-2,1,-1
1750,1623249877676224512,EN,"@StefanieSHowell @EarnSpendLive He was born as Chaim Levine but his pen name is Chuck Lorre [like Pete Lorre, real name László Löwenstein].

After 40 years writing series they call him The King of sitcoms.

He is the creator of ""The Kominsky Method"".

Smart humour. @netflix",-1,3,1
1751,1623249867912146944,EN,"It could be @netflix and chill in this super comfortable bed, but you cancelled my fav show, so now it just sleep, tweet and chill.

NETFLIX BRING BACK OCS
#SaveWarriorNun #WarriorNun https://t.co/tCESekIu7a",-2,4,1
1752,1623249848035155969,EN,"RT @SaveFirstKill: we’re 100% here for it as well, now we want to see the how the story plays out @netflix // @GoBiggLexy #SaveFirstKill #F…",-1,2,1
1753,1623249805974839296,EN,@Causticcos @netflix Yes true 👍🏻,-1,2,1
1755,1623249786257154050,EN,"@ahfalandunya He was born as Chaim Levine but his pen name is Chuck Lorre [like Pete Lorre, real name László Löwenstein].

After 40 years writing series they call him The King of sitcoms.

He is the creator of ""The Kominsky Method"".

Smart humour. @netflix",-1,3,1
1756,1623249764111507456,EN,RT @AshokSuryaOff03: Let’s enjoy #Thunivu on @netflix 🤝🙂 and let’s anticipate #Ak62 announcement. #LetsRace,-1,3,1
1759,1623249756381224960,EN,"@ChicagoCarol @prageru He was born as Chaim Levine but his pen name is Chuck Lorre [like Pete Lorre, real name László Löwenstein].

After 40 years writing series they call him The King of sitcoms.

He is the creator of ""The Kominsky Method"".

Smart humour. @netflix",-1,3,1
1760,1623249754829516800,EN,@JohnWarpower The real DC IS the Snyderverse. @netflix #SellSnyderVerseToNetflix #SellZSJLtoNetflix,-1,1,0
1763,1623249677175906304,EN,"RT @TheNuGeekz: The Black suit @SkiiwalkerTweet
The Stone Quarry @ZackSnyder

Onwards to glory!!!

See you all on 214 DAY, February 14, 202…",-1,3,1
1766,1623249654879248384,EN,RT @AshokSuryaOff03: Let’s enjoy #Thunivu on @netflix 🤝🙂 and let’s anticipate #Ak62 announcement. #LetsRace,-1,3,1
1767,1623249652119216128,EN,"@ChicagoCarol He was born as Chaim Levine but his pen name is Chuck Lorre [like Pete Lorre, who actually didn't have that name either, but László Löwenstein].

After 40 years writing series they call him The King of sitcoms.

He is the creator of ""The Kominsky Method"".

Smart humour. @netflix",-1,3,1
1768,1623249633345404928,EN,RT @SullenNarwhal: We've continuously proved that #WarriorNun is popular and has room to grow even more so. @netflix are you paying attenti…,-1,1,0
1770,1623249606363471879,EN,"RT @NhlapoPudy: Hey @netflix it's us again just here to give you your weekly dose of Nun love. 

NETFLIX BRING BACK OCS 
#SaveWarriorNun #W…",-1,3,1
